feature,shap_mean,disease
sg,0.09909637022875942,ckd
hemo,0.07511566489904838,ckd
pcv,0.06044351279457287,ckd
htn,0.05912395711974959,ckd
al,0.03995433079446085,ckd
appet,0.033102089616364065,ckd
su,0.032438787116452504,ckd
bgr,0.027951131953532077,ckd
rc,0.011114897309724895,ckd
pe,0.010855173309758513,ckd
bp,0.010435465892115272,ckd
bu,0.009854895093343561,ckd
rbc,0.006872978857382814,ckd
sc,0.006664764762868194,ckd
wc,0.003186518982656173,ckd
age,0.0022105574666494467,ckd
pc,0.0018557603319994311,ckd
ane,0.0013297964688949615,ckd
dm,0.0010106286720128602,ckd
sod,0.0005496107747025199,ckd
pcc,8.871548988410163e-05,ckd
ba,5.6964023404528124e-05,ckd
cad,2.8566499225572696e-05,ckd
pot,7.872587655188141e-06,ckd
