feature,shap_mean,disease
sg,0.09893159645438018,ckd
hemo,0.07476386235910829,ckd
pcv,0.06067675967323889,ckd
htn,0.05937308830665676,ckd
al,0.04081071053072418,ckd
appet,0.03328008184869029,ckd
su,0.03196568233614715,ckd
bgr,0.028210966615030912,ckd
pe,0.01160865319235915,ckd
rc,0.01155855611508869,ckd
bp,0.01053827854051434,ckd
bu,0.008789501713983813,ckd
sc,0.006638790627883662,ckd
rbc,0.006484898807646215,ckd
wc,0.003217733260729945,ckd
age,0.002789795735728675,ckd
pc,0.001541589448177789,ckd
ane,0.001472258087049639,ckd
dm,0.0011275539594215816,ckd
sod,0.0007939355296516697,ckd
pcc,0.00022586832971493239,ckd
ba,0.00014467509865912352,ckd
pot,9.044514306041223e-06,ckd
cad,0.0,ckd
